psme,X,Y
1,-121.941375,46.116932
1,-121.998374,45.649851
1,-122.06328700000002,46.346653
1,-122.07578,45.895313
1,-121.865776,46.12331
1,-122.05098300000002,45.799057
1,-121.79299900000001,45.89925100000001
1,-122.23032599999999,45.800069
1,-122.00439800000001,46.29212400000001
1,-122.047802,46.169068
1,-121.865269,46.312506
1,-121.90433200000001,45.973353
1,-122.158236,45.671872
1,-121.901353,45.92124
1,-121.977314,46.213096
1,-121.79578700000002,45.773314
1,-121.57428900000001,46.361799
1,-122.04793,45.975475
1,-122.037816,46.14638
1,-122.22592199999998,45.992095
1,-121.93664400000002,46.214894
1,-122.184486,45.777637000000006
1,-121.30749099999998,47.221517999999996
1,-121.420625,46.352102
1,-121.311614,46.876322
1,-121.359122,47.052874
1,-121.93219,47.427048000000006
1,-121.716543,47.230021
1,-121.571602,47.27789
1,-121.905507,47.251156
1,-121.489776,47.121197
1,-121.664578,47.072913
1,-122.180983,46.915514
1,-121.97592300000001,46.863361
1,-121.83502300000002,46.76683
1,-122.04591200000002,47.05952799999999
1,-121.880635,47.083498
1,-121.50919499999999,47.112842
1,-122.722755,46.838379
1,-122.34529900000001,45.901282
1,-122.34746700000001,45.747961000000004
1,-122.56667300000001,46.1805
1,-122.55956800000001,46.33994199999999
1,-122.57207900000002,46.004567
1,-122.417509,46.246156
1,-122.629819,45.95287400000001
1,-122.24419100000001,46.360916
1,-122.355076,46.067546
1,-121.787148,46.610446
1,-122.510831,46.706895
1,-122.315765,46.759648
1,-121.96366000000002,46.41970800000001
1,-121.72032900000002,46.513152
1,-121.894575,46.38911099999999
1,-121.753046,46.43745
1,-121.563335,46.653939
1,-122.32096300000002,46.687658
1,-122.115547,46.417358
1,-122.42165199999998,46.398473
1,-122.295075,46.543143
1,-121.79216400000001,46.458703
1,-122.505162,46.544011
1,-121.60035200000002,46.578552
1,-121.46096100000001,46.630731
1,-121.928426,46.56714000000001
1,-122.39150399999998,46.640712
1,-121.74739499999998,46.660772
1,-121.643876,46.735926
1,-121.95902599999998,46.707605
1,-122.64027100000001,46.642843
1,-122.35290099999999,46.637261
1,-121.935376,46.392671
1,-121.97017000000001,46.490770000000005
1,-122.141794,46.736921
1,-121.924472,46.43800699999999
1,-121.80919600000001,45.746891
1,-122.162067,45.877492999999994
1,-121.98380799999998,45.797146
1,-122.00552400000001,46.239270000000005
1,-121.94499199999998,45.825874
1,-122.229292,45.826505
1,-122.073774,46.272777
1,-121.867091,46.075469
1,-121.835263,45.896499
1,-121.831171,46.164853
1,-121.66312,45.96811400000001
1,-121.938513,46.287097
1,-122.05167100000001,45.942739
1,-121.934439,46.364459000000004
1,-121.973984,45.917464
1,-122.14250200000001,45.791042
1,-121.716581,46.28562500000001
1,-122.13655700000001,45.709009
1,-122.18249900000002,46.34492900000001
1,-121.673858,46.145717
1,-122.21662,46.053738
1,-121.82699700000002,46.369383
1,-122.08497499999999,45.992317
1,-122.118247,45.875054
1,-121.946429,45.845507
1,-121.96909700000002,45.947027
1,-122.122663,45.925049
1,-121.73108,45.991132
1,-121.89988000000001,46.236928
1,-121.159454,47.132603
1,-121.34633,47.098233
1,-121.19946,46.992563
1,-121.315517,46.77125899999999
1,-121.50737299999999,46.116937
1,-121.359746,46.657742000000006
1,-121.308702,46.925109
1,-121.90101200000001,47.446332999999996
1,-121.31991500000001,47.210577
1,-121.863515,47.277356000000005
1,-121.525163,47.31165
1,-121.548463,47.167641
1,-121.37047099999998,47.19842
1,-121.72037800000001,47.330711
1,-121.553946,47.15006600000001
1,-121.69793800000001,47.026138
1,-121.848106,47.129986
1,-121.670416,47.02298400000001
1,-121.828897,46.964511
1,-121.62490999999999,47.078052
1,-121.88128200000001,47.058948
1,-121.98656100000001,46.987388
1,-121.96571700000001,46.810252999999996
1,-122.16061,46.950264
1,-121.958278,46.832749
1,-122.108998,46.763541999999994
1,-122.64493700000001,46.780535
1,-122.303654,46.80920299999999
1,-122.28902400000001,45.810634
1,-122.49277300000001,45.96419
1,-122.41800900000001,45.66632
1,-122.360733,46.272506
1,-122.692176,46.07956
1,-122.394615,46.270724
1,-122.41859400000001,46.35083999999999
1,-122.57105000000001,46.29402400000001
1,-122.325664,46.166325
1,-122.52750200000001,46.141589
